taxid,date,name
961046,1/7/2019,TEXT TO 911 - INTRODUCTION
961046,1/1/2019,CLT-CRIME CONTROL STRATEGIES AND PROBLEM SOLVING
961046,1/1/2019,PATROL DOOR BAG - ROPE AND WEDGE INTRODUCTION
961046,12/17/2018,CLT-SPECIAL POPULATIONS
961046,12/5/2018,MARIJUANA BURNING ENFORCEMENT POLICY
961046,11/30/2018,CLT-DOCUMENTATION AND FORMS
961046,11/30/2018,CLT-INFORMATION TECHNOLOGY
961046,11/30/2018,CLT-PROCEDURAL OPERATIONS
961046,11/15/2018,CLT-MEMBER-EMPLOYEE WELLNESS
961046,11/15/2018,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
961046,11/15/2018,"CLT-UNIFORMS, PERSONAL APPEARANCE AND EQUIPMENT"
961046,11/9/2018,CLT-MEMBER-EMPLOYEE WELLNESS
961046,11/8/2018,CLT-INFORMATION TECHNOLOGY
961046,11/8/2018,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961046,11/7/2018,CLT-INFORMATION TECHNOLOGY
961046,11/5/2018,FUNDAMENTALS OF AUTO THEFT INVESTIGATION
961046,11/2/2018,CLT-COUNTERTERRORISM AND INTELLIGENCE
961046,11/1/2018,CLT-SPECIAL POPULATIONS
961046,10/31/2018,AMERICANS WITH DISABILITIES ACT (ADA)
961046,10/31/2018,"CLT-UNIFORMS, PERSONAL APPEARANCE AND EQUIPMENT"
961046,10/16/2018,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961046,10/15/2018,CLT-DOCUMENTATION AND FORMS
961046,10/15/2018,CLT-SPECIAL POPULATIONS
961046,10/15/2018,RESPONDING TO PEOPLE IN CRISIS-INTRODUCTION TO CIT VIDEO SERIES
961046,10/10/2018,CLT-PROCEDURAL OPERATIONS
961046,10/9/2018,CLT-PROCEDURAL OPERATIONS
961046,10/9/2018,CLT-SPECIAL POPULATIONS
961046,10/8/2018,CLT-INFORMATION TECHNOLOGY
961046,10/2/2018,CLT-INFORMATION TECHNOLOGY
961046,10/2/2018,CLT-PROCEDURAL OPERATIONS
961046,9/24/2018,CLT-LEGAL ISSUES
961046,9/24/2018,NYC RIGHT TO KNOW ACT LEGISLATION - PART 2
961046,9/24/2018,NYC RIGHT TO KNOW ACT LEGISLATION – PART 1
961046,9/21/2018,FTS - ANNUAL CEW RECERTIFICATION
