taxid,date,name
961361,5/1/2024,CLT-PROCEDURAL OPERATIONS
961361,4/30/2024,2024 EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION
961361,4/30/2024,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
961361,4/30/2024,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961361,4/25/2024,CLT-DOMESTIC VIOLENCE TRAINING
961361,4/24/2024,HOUSING BUREAU INTERIOR PATROL TACTICS
961361,4/18/2024,CLT-DOMESTIC VIOLENCE TRAINING
961361,4/17/2024,CLT-BWC POLICY UPDATES
961361,4/17/2024,CLT-DOMESTIC VIOLENCE TRAINING
961361,4/17/2024,CLT-LEGAL ISSUES
961361,4/11/2024,CLT-DOMESTIC VIOLENCE TRAINING
961361,4/11/2024,CLT-SPECIAL POPULATIONS
961361,4/10/2024,CLT-SPECIAL POPULATIONS
961361,4/9/2024,POLICING THE SUBWAY 2024
961361,4/5/2024,CLT-DOCUMENTATION AND FORMS
961361,4/5/2024,CLT-PROCEDURAL OPERATIONS
961361,4/5/2024,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961361,4/3/2024,CLT-DOCUMENTATION AND FORMS
961361,4/3/2024,CLT-PROCEDURAL OPERATIONS
961361,4/2/2024,CLT-PROCEDURAL OPERATIONS
961361,3/31/2024,CLT-PROCEDURAL OPERATIONS
961361,3/29/2024,CLT-PROCEDURAL OPERATIONS
961361,3/26/2024,CLT-PROCEDURAL OPERATIONS
961361,3/19/2024,CLT-LEGAL ISSUES
961361,3/19/2024,CLT-PROCEDURAL OPERATIONS
961361,3/16/2024,CLT - OATH VS. CRIMINAL COURT SUMMONS ROLL CALL TRAINING
961361,3/14/2024,2024 VEHICLE SEIZURE FORM REFRESHER
961361,3/12/2024,CLT-BWC POLICY UPDATES
961361,3/12/2024,CLT-DOMESTIC VIOLENCE TRAINING
961361,3/12/2024,NYCHA INTERIOR PATROL: SQF MODULE 7
961361,3/7/2024,CLT-COUNTERTERRORISM AND INTELLIGENCE
961361,3/5/2024,CLT-LEGAL ISSUES
961361,3/5/2024,EMPLOYEE ASSISTANCE UNIT (E.A.U.) IS HERE FOR YOU- 2024
961361,3/1/2024,CLT-DOCUMENTATION AND FORMS
961361,2/23/2024,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961361,2/19/2024,FTS - ANNUAL CEW RECERTIFICATION
961361,2/16/2024,CLT-PROCEDURAL OPERATIONS
961361,2/15/2024,CLT-LEGAL ISSUES
961361,2/1/2024,"CLT-UNIFORMS, PERSONAL APPEARANCE AND EQUIPMENT"
961361,1/23/2024,CLT-PROCEDURAL OPERATIONS
961361,1/22/2024,CLT-LEGAL ISSUES
961361,1/19/2024,AUTISM SPECTRUM DISORDER
961361,1/18/2024,CLT-LEGAL ISSUES
961361,1/16/2024,CLT-BWC POLICY UPDATES
961361,1/12/2024,CLT-DOCUMENTATION AND FORMS
961361,1/11/2024,CLT-PROCEDURAL OPERATIONS
961361,1/11/2024,OPIOID DANGERS- FENTANYL AND CARFENTANIL
961361,1/10/2024,CLT-PROCEDURAL OPERATIONS
961361,1/5/2024,CLT-INFORMATION TECHNOLOGY
961361,1/4/2024,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961361,1/3/2024,LGBTQIA PLUS - DIVERSITY AND INCLUSION
961361,1/3/2024,"POSSESSION OR INGESTION OF ANABOLIC STEROIDS, HUMAN GROWTH HORMONE, AND NUTRITIONAL SUPPLEMENTS"
961361,12/28/2023,CLT-INFORMATION TECHNOLOGY
961361,12/19/2023,CLT-LEGAL ISSUES
961361,12/19/2023,CLT-PROCEDURAL OPERATIONS
961361,12/18/2023,INVESTIGATIVE ENCOUNTERS SUMMARY: SQF MODULE 6
961361,12/13/2023,CLT-LEGAL ISSUES
961361,12/12/2023,CLT-ENFORCEMENT ACTIONS
961361,11/21/2023,AUGMENTED REALITY FEATURE
961361,11/11/2023,CLT-LEGAL ISSUES
961361,11/6/2023,2023 TASER X26P RE-QUALIFICATION
961361,11/3/2023,CLT-PROCEDURAL OPERATIONS
961361,10/30/2023,CLT-PROCEDURAL OPERATIONS
961361,10/27/2023,CLT-DOCUMENTATION AND FORMS
961361,10/22/2023,INVESTIGATIVE ENCOUNTERS 2023: MODULE 5 SQF LEVELS 3 AND 4
961361,10/12/2023,CLT-LEGAL ISSUES
961361,10/11/2023,CLT-INFORMATION TECHNOLOGY
961361,10/8/2023,INFORMATION SECURITY AWARENESS TRAINING - 2023
961361,9/29/2023,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
961361,9/29/2023,EFFECTIVE COMMUNICATION SKILLS - DEAF OR HARD OF HEARING
961361,9/27/2023,CLT-PROCEDURAL OPERATIONS
961361,9/22/2023,CLT-DOCUMENTATION AND FORMS
961361,9/14/2023,CLT-PROCEDURAL OPERATIONS
961361,9/12/2023,CLT-DOCUMENTATION AND FORMS
961361,9/5/2023,CLT-PATROL TACTICS ROLLCALL TRAINING VIDEO SERIES
961361,8/29/2023,2023 SUMMER ALL-OUT BODY WORN CAMERA TRAINING
961361,8/25/2023,NYPD JOUVERT AND WEST INDIAN DAY-2023
961361,8/25/2023,UNMANNED AIRCRAFT PERMIT: DRONES FOR PUBLIC USE
961361,8/11/2023,CLT-DOCUMENTATION AND FORMS
961361,8/11/2023,CLT-LEGAL ISSUES
961361,8/8/2023,CLT-LEGAL ISSUES
961361,7/25/2023,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
961361,7/14/2023,TRAFFIC COURT TESTIMONY VIDEO
961361,7/6/2023,CLT-PROCEDURAL OPERATIONS
961361,6/21/2023,CLT-PROCEDURAL OPERATIONS
961361,6/20/2023,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
961361,6/6/2023,CLT-LEGAL ISSUES
961361,5/30/2023,CLT-DOCUMENTATION AND FORMS
961361,5/26/2023,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
961361,5/26/2023,"INVESTIGATIVE ENCOUNTERS 2023: MODULE 4 SQF LEVELS 2, 3 AND 4"
961361,5/20/2023,CLT-PROCEDURAL OPERATIONS
961361,5/17/2023,2023 LANGUAGE MATTERS - FOSTERING A POSITIVE WORK ENVIRONMENT
961361,5/6/2023,INVESTIGATIVE ENCOUNTERS 2023: MODULE 3 SQF LEVEL 2
961361,5/3/2023,CLT-LEGAL ISSUES
961361,4/29/2023,2023 EQUAL EMPLOYMENT OPPORTUNITY TRAINING-SEXUAL HARASSMENT AWARENESS AND PREVENTION
961361,4/29/2023,CLT-PARK SMART ROLLCALL PRESENTATION
961361,4/27/2023,CLT-DOCUMENTATION AND FORMS
961361,4/26/2023,CLT-DOCUMENTATION AND FORMS
961361,4/19/2023,CLT-CRIME CONTROL STRATEGIES AND PROBLEM SOLVING
961361,3/29/2023,CLT-DOCUMENTATION AND FORMS
961361,3/28/2023,CLT-CRIME CONTROL STRATEGIES AND PROBLEM SOLVING
961361,3/22/2023,CLT-LEGAL ISSUES
961361,3/14/2023,CLT-DOCUMENTATION AND FORMS
961361,3/8/2023,CLT-DOCUMENTATION AND FORMS
961361,2/22/2023,INFORMATION SECURITY CRIMINAL JUSTICE TRAINING 2023
961361,2/21/2023,CLT-DOCUMENTATION AND FORMS
961361,2/10/2023,CLT-DOCUMENTATION AND FORMS
961361,2/2/2023,NYPD-U VOLUNTARY - INVOLUNTARY TRANSPORTS
961361,1/15/2023,INVESTIGATIVE ENCOUNTERS 2023 - MODULE 1 INTRODUCTION TO SQF
961361,1/15/2023,INVESTIGATIVE ENCOUNTERS 2023: MODULE 2 SQF LEVEL 1
961361,1/10/2023,CLT-VOLUNTARY - INVOLUNTARY TRANSPORTS
961361,1/6/2023,CLT-VOLUNTARY - INVOLUNTARY TRANSPORTS
961361,12/1/2022,BELT-WORN TRAUMA KIT REFRESHER TRAINING VIDEO-2022
961361,12/1/2022,VIDEO 1 - PATROLLING THE NYC SUBWAY SYSTEM 2022
961361,12/1/2022,VIDEO 2 -TACTICAL CONSIDERATIONS FOR TRANSIT PATROL 2022 (PART 1)
961361,12/1/2022,VIDEO 3 - TACTICAL CONSIDERATIONS FOR TRANSIT PATROL 2022 (PART 2)
961361,12/1/2022,VIDEO 4 - PLATFORM SAFETY 2022
961361,11/6/2022,LGBTQIA PLUS AWARENESS
961361,11/6/2022,THE EMPLOYEE ASSISTANCE UNIT (EAU) IS HERE FOR YOU
961361,10/18/2022,PROCESSING CIVILIAN COMPLAINTS
961361,9/15/2022,CLT-ENFORCEMENT ACTIONS
961361,8/30/2022,NYPD JOUVERT  WEST INDIAN DAY
961361,8/24/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 1: CONTROLLING THE STOP
961361,8/24/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 2: PROHIBITED MANEUVERS
961361,8/24/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 3: THE UNKNOWN RISK STOP
961361,8/24/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 4: THE HIGH-RISK STOP
961361,8/21/2022,2022 EQUAL EMPLOYMENT OPPORTUNITY TRAINING-SEXUAL HARASSMENT AWARENESS AND PREVENTION
961361,7/4/2022,NATIONAL INCIDENT-BASED REPORTING SYSTEM (NIBRS) UPDATES TO THE OMNIFORM COMPLAINT SYSTEMV
961361,7/1/2022,CLT-NIBRS ROLL CALL TRAINING
961361,7/1/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 6"
961361,6/30/2022,CLT-DOCUMENTATION AND FORMS
961361,6/30/2022,EXECUTIVE HEALTH AND WELLNESS TRAINING - MODULE 6
961361,6/3/2022,CLT-NIBRS ROLL CALL TRAINING
961361,5/24/2022,PROHIBITED METHODS OF RESTRAINT
961361,5/20/2022,FIELD TRAINING OFFICER - DCJS - 5-DAY CERTIFICATION
961361,5/4/2022,CLT-PROCEDURAL OPERATIONS
961361,4/8/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 5"
961361,3/18/2022,CLT-BWC POLICY UPDATES
961361,3/18/2022,CLT-PROCEDURAL OPERATIONS
961361,3/17/2022,FTS - ANNUAL CEW RECERTIFICATION
961361,3/9/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961361,2/25/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 4"
961361,2/15/2022,CLT-LEGAL ISSUES
961361,2/10/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
961361,2/7/2022,CLT-BWC POLICY UPDATES
961361,2/4/2022,CLT-EPERMIT SYSTEM
961361,2/3/2022,CLT-EPERMIT SYSTEM
961361,2/1/2022,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
961361,1/31/2022,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
961361,1/27/2022,CLT-BWC POLICY UPDATES
961361,1/27/2022,ILLEGAL EVICTIONS
961361,1/26/2022,CLT-BWC POLICY UPDATES
961361,1/25/2022,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
961361,1/24/2022,CLT-BWC POLICY UPDATES
961361,1/17/2022,CLT-EPERMIT SYSTEM
961361,1/12/2022,CLT-LEGAL ISSUES
961361,1/11/2022,CLT-LEGAL ISSUES
961361,1/10/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 3"
961361,1/9/2022,LOCAL LAW 45 OF 2021-TRAFFIC ENCOUNTERS
961361,12/24/2021,IDENTIFYING THE IMPAIRED DRIVER
961361,11/12/2021,ARRESTS - RELIGIOUS HEAD COVERING GUIDELINES (PG 208-83)
961361,11/10/2021,BODY-WORN CAMERA REVIEW PART ONE
961361,11/10/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 2"
961361,11/9/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 1"
961361,10/21/2021,BODY-WORN CAMERA REVIEW PART TWO
961361,10/12/2021,NEIGHBORHOOD POLICING APPLICATION TRAINING VIDEO
961361,10/4/2021,CLT-DOCUMENTATION AND FORMS
961361,9/27/2021,CLT-DOCUMENTATION AND FORMS
961361,9/27/2021,CLT-PROCEDURAL OPERATIONS
961361,9/27/2021,OPIOID OVERDOSE RECOGNITION AND NARCAN ADMINISTRATION -2021
