taxid,date,name
940337,12/16/2015,FORCE POLICY REVISION-PAMPHLET - PG 221 - UNIT TRAINING DECEMBER 2015
940337,11/9/2015,EMERGENCY VEHICLE OPERATION JULY 03 - JUNE 07
940337,11/9/2015,FIELD TRAINING PROGRAM JULY 03 - JUNE 07
940337,11/9/2015,PHYSICAL EDUCATION PART 1: FOUNDATIONS OF PHYSICAL FITNESS
940337,11/9/2015,PHYSICAL EDUCATION PART 2: DEFENSIVE TACTICS
940337,11/9/2015,PHYSICAL EDUCATION PART 3: AMERICAN HEART ASSOCIATION BASIC LIFE SUPPORT
940337,11/9/2015,POLICE CRISIS INTERVENTION JULY 03 - JUNE 07
940337,11/9/2015,POLICE FIELD PROBLEMS JULY 03 - JUNE 07
940337,11/9/2015,POLICE INVESTIGATION AND REPORTING JULY 03 - JUNE 07
940337,11/9/2015,POLICING A DEMOCRACY JULY 03 - JUNE 07
940337,11/9/2015,POLICING SPECIAL POPULATIONS JULY 03 - JUNE 07
940337,11/9/2015,PROCEDURAL LAW JULY 03 - JUNE 07
940337,11/9/2015,SUBSTANTIVE LAW JULY 03 - JUNE 07
940337,11/9/2015,TERRORISM AWARENESS AND RESPONSE JULY 03 - JUNE 07
940337,10/2/2015,WINDOWS PHONE TRAINING AND DISTRIBUTION
940337,7/17/2015,THREE WHEEL SCOOTER CERTIFIED
940337,7/17/2015,TWO WHEEL SCOOTER (WITH TACTICS) CERTIFIED
940337,6/18/2015,20K TRAINING INITIATIVE - SMART POLICING
940337,6/10/2015,20K TRAINING INITIATIVE - FOUNDATIONS OF POLICING
940337,4/1/2015,HIGHWAY 3-DAY STATIONARY STEP-OUT LIDAR COURSE
940337,3/5/2015,TINT-METER OPERATION TINTED WINDOW VIOLATIONS
940337,9/22/2014,IN-TAC TRAINING PROGRAM
940337,11/7/2013,TRAFFIC VIOLATIONS BUREAU WORKSHOP
940337,6/10/2013,DISORDER CONTROL TRAINING
940337,5/31/2013,DISORDER CONTROL TRAINING
940337,2/21/2012,DISORDER CONTROL TRAINING
940337,1/30/2012,DISORDER CONTROL TRAINING
940337,1/2/2012,DISORDER CONTROL TRAINING
940337,10/20/2011,PROPERTY EVIDENCE TRACKING SYSTEM
940337,7/12/2011,DISORDER CONTROL TRAINING
940337,1/11/2011,DISORDER CONTROL TRAINING
940337,11/23/2010,DISORDER CONTROL TRAINING
940337,5/19/2006,COBRA - COHORT TRAINING
940337,1/9/2006,12 PASSENGER VAN / UTILITY VEHICLE QUALIFICATION
940337,,RECRUIT 12 PASSENGER VAN / UTILITY VEHICLE QUALIFICATION
940337,,RECRUIT RMP QUALIFICATION / RMP OPERATOR QUALIFIED
964096,10/2/2025,EXTREME RISK PROTECTION ORDER (ERPO)
964096,10/2/2025,INTRODUCTION TO THE NEW 311 RADIO CODE
964096,10/2/2025,MICROSOFT 365 COLLABORATION ESSENTIALS-TRANSITIONING FROM OFFICE 2016
964096,10/2/2025,NYPD JOUVERT AND WEST INDIAN DAY-2025
964096,10/2/2025,PATROL TACTICS
964096,10/2/2025,SUPERVISOR RESPONSIBILITIES: SQF MODULE 11
964096,7/9/2025,2025 BWC PROFICIENCY TRAINING
964096,7/9/2025,2025 EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION
964096,7/9/2025,EAU 2025 POLICE COMMISSIONER JESSICA S. TISCH
964096,7/9/2025,SPECIAL VICTIMS UNIT - BEST PRACTICES GUIDE TRAINING
964096,7/9/2025,SQF REVIEW AND DOCUMENTATION: SQF MODULE 10
964096,5/6/2025,FTS - TASER 7 ANNUAL RECERTIFICATION
964096,4/22/2025,2025 IDENTIFYING THE IMPAIRED DRIVER REFRESHER
964096,4/22/2025,ACTIVE SHOOTER - SCHOOL RESPONSE PROTOCOL
964096,4/22/2025,CELL BLOCK FIRESHIELD EV BLANKETS
964096,4/22/2025,KEVIN AND AVONTE SAFE HOME PROGRAM
964096,4/22/2025,RIGHT TO KNOW ACT SQF MODULE 9
964096,2/28/2025,DIGNITARY PROTECTION COURSE
964096,1/28/2025,VEHICLE PURSUITS
964096,12/19/2024,INFORMATION SECURITY AWARENESS TRAINING 2024
964096,12/19/2024,MULTI-FACTOR AUTHENTICATION MFA TRAINING
964096,12/11/2024,BEHAVIORAL HEALTH EMERGENCY ASSISTANCE RESPONSE DIVISION B-HEARD
964096,12/11/2024,NOTIFICATION OF ALLEGATIONS AND EMPLOYEE RIGHTS
964096,11/20/2024,LEAVING THE SCENE COLLISIONS INVESTIGATIVE BEST PRACTICES
964096,11/15/2024,DRIVING WHILE INTOXICATED AWARENESS VIDEO MODULE 1
964096,11/12/2024,2023 LANGUAGE MATTERS - FOSTERING A POSITIVE WORK ENVIRONMENT
964096,11/12/2024,2023 SUMMER ALL-OUT BODY WORN CAMERA TRAINING
964096,11/12/2024,2024 VEHICLE SEIZURE FORM REFRESHER
964096,11/12/2024,ACCURATE COMPLAINT REPORT CLASSIFICATION
964096,11/12/2024,APX NEXT PORTABLE AND RADIO DISCIPLINE TRAINING VIDEO
964096,11/12/2024,ASSISTING SURVIVORS OF SEXUAL BASED VIOLENCE WITH ACCESS TO RESOURCES
964096,11/12/2024,AUTISM SPECTRUM DISORDER
964096,11/12/2024,BELT-WORN TRAUMA KIT REFRESHER TRAINING VIDEO-2022
964096,11/12/2024,BODY-WORN CAMERA REVIEW PART TWO
964096,11/12/2024,COVID VACCINE DISTRIBUTION AND EDUCATION
964096,11/12/2024,DRIVE SMART 2024
964096,11/12/2024,EFFECTIVE COMMUNICATION SKILLS - DEAF OR HARD OF HEARING
964096,11/12/2024,ELDER ABUSE -2023 REFRESHER
964096,11/12/2024,EMPLOYEE ASSISTANCE UNIT-2021
964096,11/12/2024,ESPER POLICY LIBRARY
964096,11/12/2024,FAMILY BUILDING
964096,11/12/2024,HOUSING BUREAU INTERIOR PATROL TACTICS
964096,11/12/2024,IDENTIFYING THE IMPAIRED DRIVER
