taxid,date,name
969731,1/5/2024,LGBTQIA PLUS - DIVERSITY AND INCLUSION
969731,1/5/2024,"POSSESSION OR INGESTION OF ANABOLIC STEROIDS, HUMAN GROWTH HORMONE, AND NUTRITIONAL SUPPLEMENTS"
969731,1/3/2024,INVESTIGATIVE ENCOUNTERS SUMMARY: SQF MODULE 6
969731,1/3/2024,OPIOID DANGERS- FENTANYL AND CARFENTANIL
969731,12/20/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,12/14/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,12/11/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,12/7/2023,CLT-PROCEDURAL OPERATIONS
969731,12/6/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,12/5/2023,CLT-PROCEDURAL OPERATIONS
969731,11/23/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,11/20/2023,AUGMENTED REALITY FEATURE
969731,11/18/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,11/8/2023,SRG - RAPID MOBILIZATION
969731,10/31/2023,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,10/24/2023,CLT-PROCEDURAL OPERATIONS
969731,10/23/2023,CLT-INFORMATION TECHNOLOGY
969731,10/3/2023,INFORMATION SECURITY AWARENESS TRAINING - 2023
969731,9/29/2023,EFFECTIVE COMMUNICATION SKILLS - DEAF OR HARD OF HEARING
969731,9/8/2023,CLT-INVESTIGATIONS
969731,8/25/2023,NYPD JOUVERT AND WEST INDIAN DAY-2023
969731,8/11/2023,2023 SUMMER ALL-OUT BODY WORN CAMERA TRAINING
969731,8/11/2023,UNMANNED AIRCRAFT PERMIT: DRONES FOR PUBLIC USE
969731,7/22/2023,TRAFFIC COURT TESTIMONY VIDEO
969731,6/6/2023,2023 LANGUAGE MATTERS - FOSTERING A POSITIVE WORK ENVIRONMENT
969731,5/12/2023,2023 EQUAL EMPLOYMENT OPPORTUNITY TRAINING-SEXUAL HARASSMENT AWARENESS AND PREVENTION
969731,5/12/2023,INVESTIGATIVE ENCOUNTERS 2023: MODULE 3 SQF LEVEL 2
969731,5/2/2023,CLT-PARK SMART ROLLCALL PRESENTATION
969731,4/7/2023,CLT-BWC POLICY UPDATES
969731,2/22/2023,CLT- RESPONDING TO COMMERCIAL ROBBERIES 2023
969731,2/8/2023,"CLT-INTEGRITY, ETHICS AND DISCIPLINE"
969731,2/7/2023,INVESTIGATIVE ENCOUNTERS 2023 - MODULE 1 INTRODUCTION TO SQF
969731,2/7/2023,INVESTIGATIVE ENCOUNTERS 2023: MODULE 2 SQF LEVEL 1
969731,2/7/2023,NYPD-U VOLUNTARY - INVOLUNTARY TRANSPORTS
969731,1/18/2023,CLT-DOCUMENTATION AND FORMS
969731,1/10/2023,CLT-VOLUNTARY - INVOLUNTARY TRANSPORTS
969731,12/30/2022,CLT-DOCUMENTATION AND FORMS
969731,12/27/2022,CLT-VOLUNTARY - INVOLUNTARY TRANSPORTS
969731,12/22/2022,CLT-VOLUNTARY - INVOLUNTARY TRANSPORTS
969731,12/20/2022,CLT-VOLUNTARY - INVOLUNTARY TRANSPORTS
969731,12/20/2022,FACILITIES MANAGEMENT DIVISION - MUNICIPAL SEPERATE STORM SEWER SYSTEM (MS4)
969731,12/18/2022,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - LEAVE TO EXPRESS BREAST MILK
969731,12/15/2022,CLT-ENFORCEMENT ACTIONS
969731,11/30/2022,CLT-PROCEDURAL OPERATIONS
969731,11/28/2022,CLT-COMMUNITY ENGAGEMENT
969731,11/14/2022,LGBTQIA PLUS AWARENESS
969731,10/31/2022,CLT-PROCEDURAL OPERATIONS
969731,10/25/2022,BELT-WORN TRAUMA KIT REFRESHER TRAINING VIDEO-2022
969731,10/25/2022,CLT-BWC POLICY UPDATES
969731,10/25/2022,PROCESSING CIVILIAN COMPLAINTS
969731,10/24/2022,CLT-PROCEDURAL OPERATIONS
969731,10/13/2022,CLT-BWC POLICY UPDATES
969731,9/27/2022,CLT-DOCUMENTATION AND FORMS
969731,9/9/2022,THE EMPLOYEE ASSISTANCE UNIT (EAU) IS HERE FOR YOU
969731,8/31/2022,NYPD JOUVERT  WEST INDIAN DAY
969731,8/22/2022,CLT-PROCEDURAL OPERATIONS
969731,8/19/2022,CLT-PROCEDURAL OPERATIONS
969731,8/11/2022,CONVICTED OFFENDER DNA DATABANK SPECIMEN COLLECTION KIT
969731,8/11/2022,VEHICLE SEIZURE FORM
969731,8/10/2022,CLT-BWC POLICY UPDATES
969731,8/10/2022,CLT-NIBRS ROLL CALL TRAINING
969731,8/10/2022,CLT-PROPERTY
969731,8/9/2022,2022 EQUAL EMPLOYMENT OPPORTUNITY TRAINING-SEXUAL HARASSMENT AWARENESS AND PREVENTION
969731,8/9/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 1: CONTROLLING THE STOP
969731,8/9/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 2: PROHIBITED MANEUVERS
969731,8/9/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 3: THE UNKNOWN RISK STOP
969731,8/9/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 4: THE HIGH-RISK STOP
969731,8/8/2022,CLT-BWC POLICY UPDATES
969731,6/21/2022,CLT-BWC POLICY UPDATES
969731,6/20/2022,CLT-NIBRS ROLL CALL TRAINING
969731,6/10/2022,BEST PRACTICES IN STRUCTURED INTERVIEWING
969731,6/10/2022,NATIONAL INCIDENT-BASED REPORTING SYSTEM (NIBRS) UPDATES TO THE OMNIFORM COMPLAINT SYSTEMV
969731,6/10/2022,PROHIBITED METHODS OF RESTRAINT
969731,5/23/2022,CLT-BWC POLICY UPDATES
969731,5/23/2022,CLT-DOCUMENTATION AND FORMS
969731,5/23/2022,CLT-LEGAL ISSUES
969731,5/20/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
969731,5/4/2022,CLT-LEGAL ISSUES
969731,4/20/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
969731,4/15/2022,CLT-EPERMIT SYSTEM
969731,4/7/2022,CLT-PROCEDURAL OPERATIONS
969731,4/1/2022,CLT-PROCEDURAL OPERATIONS
969731,4/1/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
969731,3/29/2022,CLT-BWC POLICY UPDATES
969731,3/28/2022,CLT-BWC POLICY UPDATES
969731,3/21/2022,CLT-PROCEDURAL OPERATIONS
969731,2/5/2022,RMP RE-TEST
969731,1/21/2022,CLT-BWC POLICY UPDATES
969731,1/21/2022,FTS - ANNUAL CEW RECERTIFICATION
969731,1/19/2022,CLT-BWC POLICY UPDATES
969731,1/14/2022,CLT-BWC POLICY UPDATES
969731,1/12/2022,CLT-BWC POLICY UPDATES
969731,1/6/2022,CLT-DOCUMENTATION AND FORMS
969731,1/6/2022,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
969731,1/5/2022,LOCAL LAW 45 OF 2021-TRAFFIC ENCOUNTERS
969731,12/30/2021,CLT-DOCUMENTATION AND FORMS
969731,12/29/2021,CLT-BWC POLICY UPDATES
969731,12/29/2021,IDENTIFYING THE IMPAIRED DRIVER
969731,12/23/2021,CONSTITUTIONAL POLICING AT COMMUNITY EVENTS (CPACE)
969731,12/15/2021,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
969731,12/15/2021,CLT-LEGAL ISSUES
969731,12/14/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 2"
969731,12/8/2021,RTS ACADEMIC - POLICING A MULTICULTURAL SOCIETY
969731,12/8/2021,RTS ACADEMIC - POLICING IMPARTIALLY
969731,12/4/2021,ARRESTS - RELIGIOUS HEAD COVERING GUIDELINES (PG 208-83)
969731,12/2/2021,CLT-INFORMATION TECHNOLOGY
969731,12/1/2021,CLT-ENFORCEMENT ACTIONS
969731,11/15/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 1"
969731,10/24/2021,BODY-WORN CAMERA REVIEW PART TWO
969731,10/22/2021,CLT-DOCUMENTATION AND FORMS
969731,10/21/2021,CLT-PROCEDURAL OPERATIONS
969731,10/8/2021,BODY-WORN CAMERA REVIEW PART ONE
969731,10/8/2021,NEIGHBORHOOD POLICING APPLICATION TRAINING VIDEO
969731,10/8/2021,OPIOID OVERDOSE RECOGNITION AND NARCAN ADMINISTRATION -2021
969731,9/20/2021,MAYOR EXECUTIVE ORDER 78 VACCINATION - TESTING COMPLIANCE POLICY
969731,9/15/2021,INFORMATION SECURITY AWARENESS TRAINING 2021
969731,9/1/2021,CLT-LEGAL ISSUES
969731,8/18/2021,CLT-PROCEDURAL OPERATIONS
969731,8/13/2021,COUNTER TERRORISM INITIAL PATROL RESPONSE TO AN ACTIVE SHOOTER
969731,8/10/2021,CLT-ENFORCEMENT ACTIONS
969731,8/2/2021,SRG - RAPID MOBILIZATION (PATROL) LEVEL 4
969731,7/24/2021,OVERVIEW OF THE NEW DISCOVERY LAWS 2021 REFRESHER
969731,7/9/2021,CLT-PROCEDURAL OPERATIONS
969731,7/9/2021,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION 2021
969731,7/8/2021,CLT-PROCEDURAL OPERATIONS
969731,7/7/2021,RTS ACADEMIC - DOMESTIC VIOLENCE
