taxid,date,name
935519,12/10/2019,COUNTERTERRORISM BUREAU NH15 TRAINING
935519,12/10/2019,CROSSFIRE MITIGATION DURING CLOSE COMBAT INCIDENTS
935519,12/10/2019,EXECUTIVE HEALTH AND WELLNESS TRAINING - MODULE 3
935519,12/10/2019,INCREASE OFFICER SAFETY DURING VEHICLE STOPS
935519,12/10/2019,PRISONER ESCAPE WARNING SIGNS
935519,12/10/2019,SUCCESSFULLY DISARMING AN EMOTIONALLY DISTURBED PERSON
935519,12/10/2019,VERTEX 949 RADIO OPERATIONAL INSTRUCTIONS
935519,12/4/2019,CJB - OVERVIEW OF THE NEW DISCOVERY LAWS
935519,12/3/2019,"CJB - DAT - DISCOVERY LAW TRAINING FOR TRAINING SGTS, OPS COORDINATORS, COS AND XOS"
935519,11/28/2019,CJB - DESK APPEARANCE TICKETS: THE NEW LAWS AND GUIDELINES FOR PROCESSING DATS
935519,11/27/2019,EXECUTIVE HEALTH AND WELLNESS CONFERENCE - MODULE 1
935519,11/27/2019,EXECUTIVE HEALTH AND WELLNESS TRAINING - MODULE 10
935519,11/27/2019,EXECUTIVE HEALTH AND WELLNESS TRAINING - MODULE 2
935519,11/27/2019,RESPONDING TO COMMERCIAL ROBBERIES PART LL - MODULE 1 AND MODULE 2
935519,11/12/2019,DISCHARGING YOUR FIREARM AT A MOVING THREAT
935519,10/10/2019,CRIMINAL JUSTICE BUREAU - DNA TRAINING VIDEO
935519,10/10/2019,CRITICAL DECISION MAKING MODEL
935519,10/10/2019,FORCE POLICY UPDATE VIDEO
935519,9/25/2019,DOMESTIC VIOLENCE EDUCATION AND COUNSELING
935519,9/25/2019,MARIJUANA POLICY UPDATE
935519,9/10/2019,CRITICAL INCIDENT TACTICS - RESPONDING TO COMMERCIAL ROBBERIES (EXTENDED VERSION)
935519,9/5/2019,SHIELD OF RESILIENCE TRAINING COURSE
935519,8/7/2019,HEALTH AND WELLNESS TRAINING
935519,8/5/2019,RESPONDING TO COMMERCIAL ROBBERIES
935519,7/19/2019,NYC RIGHT TO KNOW ACT LEGISLATION - PART 2
935519,7/19/2019,RESPONDING TO PEOPLE IN CRISIS - MODULE 1: SENDING THE RIGHT SIGNALS
935519,7/19/2019,RESPONDING TO PEOPLE IN CRISIS - MODULES 2 AND 3: ACTIVE LISTENING PARTS 1 AND 2
935519,7/19/2019,RESPONDING TO PEOPLE IN CRISIS – MODULE 4: USING DEPARTMENT MOBILE DIGITAL DEVICES
935519,7/19/2019,RESPONDING TO PEOPLE IN CRISIS-INTRODUCTION TO CIT VIDEO SERIES
935519,7/18/2019,TRANSIT BUREAU - SAFETY CONSIDERATIONS FOR PATROLLING THE NYC SUBWAY SYSTEM
935519,7/18/2019,TRANSIT BUREAU - SAFETY CONSIDERATIONS FOR PATROLLING THE NYC SUBWAY SYSTEM - PART 2
935519,6/24/2019,AIM COMPONENTS 2.0
935519,6/24/2019,TRANSIT BUREAU - TIMELY RESUMPTION OF SERVICE IN NYC TRANSIT
935519,6/20/2019,WORLDPRIDE NYC 2019
935519,6/6/2019,COLLABORATIVE POLICING - MEDIATION REFERRAL PROGRAM FOR NON-CRIMINAL COMPLAINTS
935519,6/5/2019,COLLABORATIVE POLICING - THE DEAF AND HARD OF HEARING COMMUNITY
935519,4/2/2019,COLLABORATIVE POLICING - ELDER ABUSE
935519,4/2/2019,LEGAL BUREAU - PERJURY TRAINING MODULE
935519,4/2/2019,SAFEGUARDING PRISONERS - OFFICER SAFETY GUIDELINES
935519,4/2/2019,"SUPPORT SERVICES DIVISION - CLASS ""C"" OPERATOR"
935519,1/30/2019,EQUAL EMPLOYMENT OPPORTUNITYTRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION
935519,12/12/2018,AMERICANS WITH DISABILITIES ACT (ADA)
935519,12/12/2018,MARIJUANA BURNING ENFORCEMENT POLICY
935519,10/17/2018,EXECUTIVE CONFERENCE - LEADERSHIP IN AMBIGUOUS SITUATION - FRED TANNER
935519,10/4/2018,CPS RISK ANALYSIS AND INFORMATION LIABILITY SYSTEM (RAILS)
935519,10/4/2018,NYC RIGHT TO KNOW ACT LEGISLATION – PART 1
935519,9/6/2018,CPS FAIR AND IMPARTIAL POLICING - ALL POS AND DETS
935519,9/5/2018,RAISE THE AGE
935519,7/24/2018,DETECTIVE BUREAU RETRIEVING BODY WORN CAMERA DATA
935519,5/15/2018,COBALT
935519,5/15/2018,COMMUNICATIONS- THE PROPER USAGE OF THE IDA RADIO CODES
935519,5/15/2018,COUNTERTERRORISM BUREAU FACILITY AWARENESS VIDEO- TIME WARNER BUILDING
935519,5/15/2018,COUNTERTERRORISM BUREAU FACILITY AWARENESS VIDEO-EMPIRE STATE BUILDING
935519,5/15/2018,"COUNTERTERRORISM BUREAU FACILITY AWARENESS- THE INTREPID SEA, AIR AND SPACE MUSEUM"
935519,5/15/2018,COUNTERTERRORISM U.A.S. (UNMANNED AIRCRAFT SYSTEMS) DRONE AWARENESS
935519,5/15/2018,DAS PATTERN MODE
935519,5/15/2018,DOMAIN AWARENESS SYSTEM - SEARCH ACCURINT RESULTS
935519,5/15/2018,"FORMS - THREAT,RESISTANCE,INJURY (TRI)"
935519,5/15/2018,FORMS MEDICAL TREATMENT OF PRISONER TRAINING
935519,5/15/2018,INFORMATION SECURITY AWARENESS TRAINING
935519,5/15/2018,NEW YEAR'S EVE TACTICAL AWARENESS
935519,4/2/2018,COLLABORATIVE POLICING- HUMAN TRAFFICKING
935519,4/2/2018,CPS BWC EXECUTIVE TRAINING VIDEO
935519,4/2/2018,LEGAL BUREAU PERFORMANCE METRICS - PROHIBITED CONDUCT
935519,2/19/2018,DOMAIN AWARNESS SYSTEM (DAS)
935519,2/19/2018,FAQ: PINTOOL FOR ICO'S
935519,2/19/2018,ITB NYPD RADIO: COMMUNICATING WITH OTHER AGENCIES VIA THE NYMAC CHANNEL
935519,1/7/2018,DAS MESSAGING
935519,1/7/2018,FAQ: HOW TO SYNC YOUR DEPARTMENT SMARTPHONE
935519,1/7/2018,FORMS - AIDED AND MV104 (POLICE ACCIDENT REPORT)
935519,1/7/2018,FORMS SUMMONS
935519,1/7/2018,HOW TO ENTER DOMESTIC INCIDENT REPORTS IN TO FORMS
935519,1/7/2018,MOBILE IDENTIFICATION DEVICE (MORPHO)
935519,1/7/2018,NEW NYPD PORTAL
935519,1/7/2018,NYPD MOBILITY INITIATIVE - DEPARTMENT SMARTPHONE TRAINING
935519,1/7/2018,SEND TO DESKTOP
935519,1/7/2018,STOP REPORT
935519,1/7/2018,WARRANT CHECK IN DOMAIN AWARENESS SYSTEM (DAS LITE)
935519,1/6/2018,POLICE COMMISSIONER MESSAGE- NYC GIVES
935519,12/17/2017,COLLABORATIVE POLICING- ACCESSING TELEPHONIC INTERPRETERS VIA LANGUAGE LINE
935519,12/17/2017,COLLABORATIVE POLICING- FOREIGN LANGUAGE CERTIFICATION VIDEO
935519,12/17/2017,COLLABORATIVE POLICING- POLICING IN TODAY’S MULTI-FAITH NY
935519,12/17/2017,COUNTERTERRORISM ACTIVE SHOOTER TRAINING
935519,12/17/2017,"CPS INTERIOR PATROL OF HOUSING AUTHORITY BUILDINGS, PG 212-60 ROLL CALL VIDEO 1"
935519,12/17/2017,"CPS INTERIOR PATROL OF HOUSING AUTHORITY BUILDINGS, PG 212-60 ROLL CALL VIDEO 2"
935519,12/17/2017,CPS INTERIOR PATROL TRESPASS AFFIDAVIT PROGRAM (TAP) VIDEO 1
935519,12/17/2017,CPS INTERIOR PATROL TRESPASS AFFIDAVIT PROGRAM (TAP) VIDEO 2
935519,12/17/2017,DEATH BY POWERPOINT
935519,12/17/2017,IPHONE AND DAS MOBILE OPERATION
935519,12/17/2017,LOCATING APPLE DEVICES USING YOUR DEPARTMENT SMARTPHONE
935519,12/17/2017,NEW PERFORMANCE EVALUATION PROCESS
935519,12/17/2017,PATROL- POLYCARBONATE SHIELD
935519,12/17/2017,TACTICAL AWARENESS OF EXCITED DELIRIUM SYNDROME
935519,12/17/2017,TACTICAL AWARENESS- BALLISTIC VEST
935519,12/17/2017,TRAINING MATERIALS- CLOSING THE GAP ON VEHICLE INTELLIGENCE
935519,12/17/2017,TRAINING MATERIALS- PAWNSHOP AND 2ND HAND DEALER DATABASE
935519,12/14/2017,DAS OVERLAPPING LAYERS TUTORIAL
935519,12/11/2017,CRIME CONTROL STRATEGIES- COMMUNITY SUPERVISION
935519,11/7/2017,TACTICAL AWARENESS-SMARTPHONE SAFETY
935519,10/17/2017,NARCAN NASAL SPRAY TRAINING
935519,9/5/2017,DETECTIVE BUREAU INTERROGATORS COURSE
935519,9/4/2017,PERSONNEL BUREAU NYPD EMPLOYEE ASSISTANCE UNIT (EAU)
935519,7/17/2017,BELT TRAUMA KIT VIDEO
935519,7/17/2017,CRIMINAL JUSTICE REFORM ACT ROLL CALL TRAINING PART 1
935519,7/17/2017,CRIMINAL JUSTICE REFORM ACT ROLL CALL TRAINING PART 2
935519,7/17/2017,POLICE COMMISSIONERS MESSAGE - VICTIMS OF SEXUAL ASSAULT VIDEO
935519,2/15/2017,FUNDAMENTALS OF AUTO THEFT INVESTIGATION
935519,2/1/2017,EQUAL EMPLOYMENT OPPORTUNITY TRANSGENDER DIVERSITY AND INCLUSION:EXECUTIVE ORDER 16
935519,12/20/2016,CAPTAINS DEVELOPMENT COURSE
935519,11/25/2016,EQUAL EMPLOYMENT OPPORTUNITY TRAINING FOR UNIFORM SUPERVISORS
935519,11/16/2016,FINANCIAL PLANNING
935519,11/14/2016,CAPTAINS DEVELOPMENT COURSE
935519,9/19/2016,INVESTIGATIVE ENCOUNTERS-VIDEO #1 REQUEST FOR INFO-UNIT TRAINING FEB 2016
935519,9/19/2016,PUBLIC CONTACT AND CONSENT TO SEARCH (RIGHT TO KNOW) - UNIT TRAINING AUGUST 2016
