taxid,date,name
943986,5/21/2019,CLT-LEGAL ISSUES
943986,5/15/2019,CLT-COUNTERTERRORISM AND INTELLIGENCE
943986,5/15/2019,CLT-ENFORCEMENT ACTIONS
943986,5/1/2019,CLT-ENFORCEMENT ACTIONS
943986,5/1/2019,CLT-PROCEDURAL OPERATIONS
943986,5/1/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,4/30/2019,LEGAL BUREAU - PERJURY TRAINING MODULE
943986,4/30/2019,RESPONDING TO PEOPLE IN CRISIS - MODULES 2 AND 3: ACTIVE LISTENING PARTS 1 AND 2
943986,4/25/2019,FACILITIES MANAGEMENT DIVISION - MUNICIPAL SEPERATE STORM SEWER SYSTEM (MS4)
943986,4/23/2019,CLT-ENFORCEMENT ACTIONS
943986,4/23/2019,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
943986,4/12/2019,BTK (BELT TRAUMA KIT DISTRIBUTION AND FAMILIARIZATION)
943986,3/21/2019,CLT-COMMUNICATION STRATEGIES AND AIDS
943986,3/21/2019,CLT-ENFORCEMENT ACTIONS
943986,3/21/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,3/20/2019,SAFEGUARDING PRISONERS - OFFICER SAFETY GUIDELINES
943986,3/15/2019,CLT-COMMUNICATION STRATEGIES AND AIDS
943986,3/15/2019,CLT-ENFORCEMENT ACTIONS
943986,3/15/2019,CLT-PROCEDURAL OPERATIONS
943986,3/15/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,3/13/2019,CLT-ENFORCEMENT ACTIONS
943986,3/13/2019,CLT-PROCEDURAL OPERATIONS
943986,3/13/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,3/6/2019,COLLABORATIVE POLICING - ELDER ABUSE
943986,3/5/2019,CLT-COUNTERTERRORISM AND INTELLIGENCE
943986,3/5/2019,CLT-PROCEDURAL OPERATIONS
943986,3/5/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,3/1/2019,CLT-COUNTERTERRORISM AND INTELLIGENCE
943986,3/1/2019,CLT-PROCEDURAL OPERATIONS
943986,3/1/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,2/27/2019,CLT-COUNTERTERRORISM AND INTELLIGENCE
943986,2/27/2019,CLT-INFORMATION TECHNOLOGY
943986,2/27/2019,CLT-PROCEDURAL OPERATIONS
943986,2/27/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,2/26/2019,VERTEX 949 RADIO OPERATIONAL INSTRUCTIONS
943986,2/21/2019,CLT-EQUAL EMPLOYMENT OPPORTUNITY
943986,2/21/2019,CLT-INFORMATION TECHNOLOGY
943986,2/21/2019,CLT-PROCEDURAL OPERATIONS
943986,2/21/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,2/19/2019,CLT-EQUAL EMPLOYMENT OPPORTUNITY
943986,2/19/2019,CLT-INFORMATION TECHNOLOGY
943986,2/19/2019,CLT-PROCEDURAL OPERATIONS
943986,2/19/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,2/15/2019,CLT-COUNTERTERRORISM AND INTELLIGENCE
943986,2/15/2019,CLT-DOCUMENTATION AND FORMS
943986,2/15/2019,CLT-PROCEDURAL OPERATIONS
943986,2/15/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,2/13/2019,CLT-COUNTERTERRORISM AND INTELLIGENCE
943986,2/13/2019,CLT-DOCUMENTATION AND FORMS
943986,2/13/2019,CLT-INFORMATION TECHNOLOGY
943986,2/13/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
943986,2/3/2019,RESPONDING TO PEOPLE IN CRISIS - MODULE 1: SENDING THE RIGHT SIGNALS
943986,2/3/2019,"SUPPORT SERVICES DIVISION - CLASS ""C"" OPERATOR"
943986,1/27/2019,INVESTIGATIVE ENCOUNTERS-VIDEO #1 REQUEST FOR INFO-UNIT TRAINING FEB 2016
943986,1/27/2019,INVESTIGATIVE ENCOUNTERS-VIDEO #2 COMMON LAW RIGHT OF INQUIRY-UNIT TRAINING MAY 2016
943986,1/1/2019,CLT-PROCEDURAL OPERATIONS
943986,1/1/2019,PATROL DOOR BAG - ROPE AND WEDGE INTRODUCTION
943986,1/1/2019,TEXT TO 911 - INTRODUCTION
943986,12/24/2018,EQUAL EMPLOYMENT OPPORTUNITYTRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION
943986,12/18/2018,CLT-SPECIAL POPULATIONS
