taxid,date,name
963708,9/15/2021,CLT-ENFORCEMENT ACTIONS
963708,9/15/2021,INFORMATION SECURITY AWARENESS TRAINING 2021
963708,9/14/2021,MAYOR EXECUTIVE ORDER 78 VACCINATION - TESTING COMPLIANCE POLICY
963708,9/7/2021,CLT-PROCEDURAL OPERATIONS
963708,8/31/2021,CLT-PROCEDURAL OPERATIONS
963708,8/17/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963708,7/19/2021,FTS - ANNUAL CEW RECERTIFICATION
963708,7/17/2021,CLT-ENFORCEMENT ACTIONS
963708,7/15/2021,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION 2021
963708,7/10/2021,CLT-ENFORCEMENT ACTIONS
963708,6/23/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963708,6/17/2021,CLT-INVESTIGATIONS
963708,6/11/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963708,6/9/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963708,6/7/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963708,5/25/2021,OVERVIEW OF THE NEW DISCOVERY LAWS 2021 REFRESHER
963708,5/20/2021,PATROL GUIDE 215-17 POLICE ACTIONS RELATED QUESTIONING ARRESTS AND INVESTIGATIONS AT A NYC DEPARTMEN
963708,5/19/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963708,5/11/2021,CHILD SENSITIVE ARREST POLICY GUIDELINES AND PROCEDURES
963708,5/5/2021,CLT-ENFORCEMENT ACTIONS
963708,5/5/2021,EMPLOYEE ASSISTANCE UNIT-2021
963708,5/1/2021,CLT-MEMBER-EMPLOYEE WELLNESS
963708,4/17/2021,"CLT-INTEGRITY, ETHICS AND DISCIPLINE"
963708,4/12/2021,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - LGBTQIA+ DIVERSITY AND INCLUSION / EXECUTIVE ORDER 16 OF 201
963708,4/8/2021,ACTIVE BYSTANDERSHIP FOR LAW ENFORCEMENT (ABLE): ONE DAY COURSE
963708,4/5/2021,CLT-LEGAL ISSUES
963708,3/19/2021,CLT-SPECIAL POPULATIONS
