taxid,date,name
959379,11/9/2015,POLICE INVESTIGATION AND REPORTING JULY 07 - PRESENT
959379,11/9/2015,POLICING A DEMOCRACY JULY 07 - PRESENT
959379,11/9/2015,POLICING SPECIAL POPULATIONS JULY 07 - PRESENT
959379,11/9/2015,PROCEDURAL LAW JULY 07 - PRESENT
959379,11/9/2015,SUBSTANTIVE LAW JULY 07 - PRESENT
959379,11/9/2015,TERRORISM AWARENESS AND RESPONSE JULY 07 - PRESENT
959379,10/29/2015,PTTD WEAPONS DEFENSE
959379,10/8/2015,PTTD C.P.R. / A.E.D. WRITTEN EXAM
959379,9/29/2015,PTTD EXPANDABLE BATON
959379,9/23/2015,RECRUIT TRAINING COMPUTER COURSE
959379,9/22/2015,BATON
959379,9/15/2015,FIREARMS 5 DAY TACTICAL SKILLS V1
959379,9/14/2015,POLICE ACADEMY RECRUIT JUSTIFICATION WRITTEN EXAM
959379,9/8/2015,POLICE ACADEMY RECRUIT STOP QUESTION & FRISK WRITTEN EXAM
959379,9/7/2015,PTTD DEFENSIVE TACTICS PRACTICAL EXAM
959379,9/1/2015,OFF DUTY PISTOL CERTIFIED
959379,9/1/2015,RECRUIT TACTICAL FIREARMS QUALIFICATION AND TRAINING OFF DUTY PISTOL CERTIFIED
959379,8/18/2015,FRISKING AND HANDCUFFING
959379,8/17/2015,"PTTD CARDIO ENDURANCE TEST, 1ST ATTEMPT"
959379,8/14/2015,RECRUIT BASIC FIREARMS QUALIFICATION AND TRAINING
959379,7/13/2015,POLICE ACADEMY RECRUIT PREREADING EXAM
967725,10/29/2025,EMERGENCY PHRASES IN AMERICAN SIGN LANGUAGE
967725,10/14/2025,SUPERVISOR RESPONSIBILITIES: SQF MODULE 11
967725,9/23/2025,EXTREME RISK PROTECTION ORDER (ERPO)
967725,9/23/2025,NYPD JOUVERT AND WEST INDIAN DAY-2025
967725,9/22/2025,INTRODUCTION TO THE NEW 311 RADIO CODE
967725,9/22/2025,MICROSOFT 365 COLLABORATION ESSENTIALS-TRANSITIONING FROM OFFICE 2016
967725,9/22/2025,PATROL TACTICS
967725,8/19/2025,CLT-PROCEDURAL OPERATIONS
967725,7/28/2025,FTS - TASER 7 ANNUAL RECERTIFICATION
967725,7/4/2025,SPECIAL VICTIMS UNIT - BEST PRACTICES GUIDE TRAINING
967725,6/25/2025,2025 BWC PROFICIENCY TRAINING
967725,6/9/2025,EAU 2025 POLICE COMMISSIONER JESSICA S. TISCH
967725,6/9/2025,SQF REVIEW AND DOCUMENTATION: SQF MODULE 10
967725,5/27/2025,2025 EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION
967725,5/7/2025,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
967725,4/29/2025,CLT-ENFORCEMENT ACTIONS
967725,3/6/2025,INVESTIGATIVE ENCOUNTERS - STOP REPORT REFRESHER TRAINING
967725,2/20/2025,ADVANCED NARCOTICS INVESTIGATION COURSE (HIDTA)
967725,1/27/2025,RIGHT TO KNOW ACT SQF MODULE 9
967725,1/27/2025,VEHICLE PURSUITS
967725,1/13/2025,2025 IDENTIFYING THE IMPAIRED DRIVER REFRESHER
967725,1/13/2025,ACTIVE SHOOTER - SCHOOL RESPONSE PROTOCOL
967725,1/13/2025,KEVIN AND AVONTE SAFE HOME PROGRAM
967725,12/23/2024,CELL BLOCK FIRESHIELD EV BLANKETS
967725,12/23/2024,MULTI-FACTOR AUTHENTICATION MFA TRAINING
967725,12/16/2024,INFORMATION SECURITY AWARENESS TRAINING 2024
967725,12/5/2024,NOTIFICATION OF ALLEGATIONS AND EMPLOYEE RIGHTS
967725,12/3/2024,BEHAVIORAL HEALTH EMERGENCY ASSISTANCE RESPONSE DIVISION B-HEARD
967725,12/3/2024,DRIVING WHILE INTOXICATED AWARENESS VIDEO MODULE 1
967725,12/3/2024,LEAVING THE SCENE COLLISIONS INVESTIGATIVE BEST PRACTICES
967725,10/29/2024,FAMILY BUILDING
967725,10/29/2024,NORTHWELL DIRECT FINEST CARE PROGRAM FOR UMOS
967725,10/22/2024,CLT-PROCEDURAL OPERATIONS
967725,10/8/2024,CLT-PROCEDURAL OPERATIONS
967725,8/29/2024,APX NEXT PORTABLE AND RADIO DISCIPLINE TRAINING VIDEO
967725,8/29/2024,MENTAL HEALTH INVOLUNTARY REMOVALS MHL 9.41 AND MHL 9.58
967725,8/29/2024,RACIAL PROFILING AND BIASED BASED POLICING: SQF MODULE 8
967725,8/28/2024,RAPE IS RAPE
