taxid,date,name
963278,6/6/2019,WORLDPRIDE NYC 2019
963278,6/4/2019,COLLABORATIVE POLICING - MEDIATION REFERRAL PROGRAM FOR NON-CRIMINAL COMPLAINTS
963278,5/20/2019,SITE PROTECTION & DOCUMENT SCREENING TECHNIQUES
963278,5/2/2019,RESPONDING TO PEOPLE IN CRISIS - MODULES 2 AND 3: ACTIVE LISTENING PARTS 1 AND 2
963278,4/24/2019,PLAIN CLOTHES TRAINING CERTIFIED BASIC PLAIN-CLOTHES COURSE
963278,4/17/2019,2017-2019 IN-SERVICE CYCLE-INTEGRATED TACTICS
963278,4/15/2019,ILERSBA - INITIAL LAW ENFORCMENT RESPONSE TO SUICIDE BOMBING ATTACKS
963278,4/14/2019,COLLABORATIVE POLICING - THE DEAF AND HARD OF HEARING COMMUNITY
963278,4/4/2019,AWARENESS AND RESPONSE TO BIOLOGICAL INCIDENTS
963278,4/3/2019,LEGAL BUREAU - PERJURY TRAINING MODULE
963278,3/21/2019,SAFEGUARDING PRISONERS - OFFICER SAFETY GUIDELINES
963278,3/18/2019,CPS BODY-WORN CAMERA TRAINING WITH SCENARIOS
963278,3/15/2019,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
963278,2/23/2019,COLLABORATIVE POLICING - ELDER ABUSE
963278,2/18/2019,ADVANCED EXPLOSIVE TRACE DETECTION COURSE
963278,2/14/2019,PATROL DOOR BAG - ROPE AND WEDGE INTRODUCTION
963278,2/13/2019,2017-2019 IN-SERVICE CYCLE-INVESTIGATIVE ENCOUNTERS- BASIC TRAINING WITH SCENARIOS
963278,2/7/2019,"SUPPORT SERVICES DIVISION - CLASS ""C"" OPERATOR"
963278,1/11/2019,RESPONDING TO PEOPLE IN CRISIS - MODULE 1: SENDING THE RIGHT SIGNALS
963278,1/3/2019,TEXT TO 911 - INTRODUCTION
963278,12/19/2018,EQUAL EMPLOYMENT OPPORTUNITYTRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION
963278,12/2/2018,MARIJUANA BURNING ENFORCEMENT POLICY
963278,11/28/2018,"HME - HOMEMADE EXPLOSIVES: AWARENESS, RECOGNITION, AND RESPONSE"
963278,11/17/2018,TRANSIT BUREAU - TIMELY RESUMPTION OF SERVICE IN NYC TRANSIT
963278,11/8/2018,AMERICANS WITH DISABILITIES ACT (ADA)
963278,10/13/2018,RESPONDING TO PEOPLE IN CRISIS-INTRODUCTION TO CIT VIDEO SERIES
963278,9/22/2018,NYC RIGHT TO KNOW ACT LEGISLATION - PART 2
963278,9/22/2018,NYC RIGHT TO KNOW ACT LEGISLATION – PART 1
963278,9/19/2018,CLT-PROCEDURAL OPERATIONS
963278,9/7/2018,RAISE THE AGE
963278,8/30/2018,CLT-ENFORCEMENT ACTIONS
963278,7/27/2018,FTS - ANNUAL CEW RECERTIFICATION
963278,5/13/2018,COMMUNICATIONS- THE PROPER USAGE OF THE IDA RADIO CODES
963278,4/25/2018,1PP IPHONE TRAINING AND DISTRIBUTION
963278,2/25/2018,LEGAL BUREAU PERFORMANCE METRICS - PROHIBITED CONDUCT
963278,1/24/2018,COLLABORATIVE POLICING- ACCESSING TELEPHONIC INTERPRETERS VIA LANGUAGE LINE
963278,1/17/2018,CLT-EQUAL EMPLOYMENT OPPORTUNITY
963278,1/12/2018,COUNTER TERRORISM INITIAL PATROL RESPONSE TO AN ACTIVE SHOOTER
963278,12/7/2017,FTS - ANNUAL CEW RECERTIFICATION
963278,11/20/2017,NARCAN NASAL SPRAY TRAINING
963278,10/20/2017,NARCAN NASAL SPRAY TRAINING
963278,9/4/2017,PATROL- POLYCARBONATE SHIELD
963278,8/29/2017,FORCE POLICY REVISION-VIDEO-PG 221-UNIT TRAINING MAY 2016
963278,8/29/2017,PUBLIC CONTACT AND CONSENT TO SEARCH (RIGHT TO KNOW) - UNIT TRAINING AUGUST 2016
963278,8/14/2017,PERSONNEL BUREAU NYPD EMPLOYEE ASSISTANCE UNIT (EAU)
963278,8/14/2017,POLICE COMMISSIONERS MESSAGE - VICTIMS OF SEXUAL ASSAULT VIDEO
963278,7/10/2017,"CPS INTERIOR PATROL OF HOUSING AUTHORITY BUILDINGS, PG 212-60 ROLL CALL VIDEO 1"
963278,7/10/2017,"CPS INTERIOR PATROL OF HOUSING AUTHORITY BUILDINGS, PG 212-60 ROLL CALL VIDEO 2"
963278,7/10/2017,CPS INTERIOR PATROL TRESPASS AFFIDAVIT PROGRAM (TAP) VIDEO 1
963278,7/10/2017,CPS INTERIOR PATROL TRESPASS AFFIDAVIT PROGRAM (TAP) VIDEO 2
963278,6/30/2017,BTK (BELT TRAUMA KIT DISTRIBUTION AND FAMILIARIZATION)
963278,6/19/2017,POLICE ACADEMY RECRUIT 3RD TRIMESTER EXAM
963278,6/14/2017,RECRUIT RAPID DEPLOYMENT-ACTIVE SHOOTER
963278,6/1/2017,RECRUIT QUIZ L.W. AUTO-RELATED CRIMES
963278,6/1/2017,RECRUIT QUIZ L.W. INTEGRITY CRIMES AND CIVIL LIABILITIES
963278,6/1/2017,RECRUIT QUIZ P.S. INTERIOR PATROL
963278,6/1/2017,RECRUIT QUIZ P.S. POLICE FIELD COMMUNICATIONS
963278,5/31/2017,POLICE SCIENCE- INVESTIGATION AND REPORT WRITING QUIZ
963278,5/31/2017,RECRUIT QUIZ P.S. SUMMONSES
963278,5/31/2017,RECRUIT QUIZ- COLLECTING AND PROCESSING EVIDENCE
963278,5/31/2017,X26P TRANSITION COURSE FOR CURRENT X26 END-USER TRAINING
963278,5/30/2017,PTTD WATER SAFETY
963278,5/29/2017,GROUND TACTICS
963278,5/5/2017,CRIMINAL JUSTICE REFORM ACT ROLL CALL TRAINING PART 1
963278,5/5/2017,CRIMINAL JUSTICE REFORM ACT ROLL CALL TRAINING PART 2
963278,5/3/2017,CIMS ICS 100 / 200
963278,5/3/2017,POLICE ACADEMY RECRUIT JUSTIFICATION WRITTEN EXAM
963278,4/27/2017,RECRUIT 12 PASSENGER VAN / UTILITY VEHICLE QUALIFICATION
963278,4/26/2017,RECRUIT RMP QUALIFICATION / RMP OPERATOR QUALIFIED
963278,4/20/2017,VEHICLE STOP SOLUTIONS MODULE
963278,4/14/2017,FIREARMS 5 DAY TACTICAL APPLICATION V2
963278,4/10/2017,POLICE ACADEMY RECRUIT 2ND TRIMESTER EXAM
963278,4/5/2017,PTTD DEFENSIVE TACTICS PRACTICAL EXAM
963278,4/5/2017,RECRUIT QUIZ- CHILDREN AND ADOLESCENTS
963278,4/5/2017,RECRUIT QUIZ- CRIMES AGAINST PERSONS
963278,3/29/2017,RECRUIT QUIZ- AIDED AND MISSING
963278,3/29/2017,RECRUIT QUIZ- THEFT OFFENSES PROPERTY CRIMES
963278,3/24/2017,FIRST AID WRITEN EXAM
963278,3/23/2017,FIRST AID WRITEN EXAM
963278,3/22/2017,FTS - CEW END USER CERT
