taxid,date,name
955829,8/22/2022,CLT-COMMUNICATION STRATEGIES AND AIDS
955829,8/22/2022,CLT-PROFESSIONAL DEVELOPMENT
955829,7/28/2022,CLT-BWC POLICY UPDATES
955829,7/26/2022,CLT-PROFESSIONAL DEVELOPMENT
955829,7/21/2022,"INTEGRATING COMMUNICATION, ASSESSMENT, AND TACTICS (ICAT) MODULE 7"
955829,7/19/2022,CLT-ENFORCEMENT ACTIONS
955829,7/18/2022,CLT-NIBRS ROLL CALL TRAINING
955829,7/14/2022,CLT-CRIME CONTROL STRATEGIES AND PROBLEM SOLVING
955829,7/13/2022,2022 EQUAL EMPLOYMENT OPPORTUNITY TRAINING-SEXUAL HARASSMENT AWARENESS AND PREVENTION
955829,7/13/2022,CONVICTED OFFENDER DNA DATABANK SPECIMEN COLLECTION KIT
955829,7/13/2022,VEHICLE SEIZURE FORM
955829,6/30/2022,BEST PRACTICES IN STRUCTURED INTERVIEWING
955829,6/30/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 1: CONTROLLING THE STOP
955829,6/30/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 2: PROHIBITED MANEUVERS
955829,6/30/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 3: THE UNKNOWN RISK STOP
955829,6/30/2022,CAR STOP TACTICS FOR PATROL OFFICERS - MODULE 4: THE HIGH-RISK STOP
955829,6/30/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 6"
955829,6/29/2022,NATIONAL INCIDENT-BASED REPORTING SYSTEM (NIBRS) UPDATES TO THE OMNIFORM COMPLAINT SYSTEMV
955829,5/26/2022,PROHIBITED METHODS OF RESTRAINT
955829,5/22/2022,CLT-INVESTIGATIONS
955829,5/19/2022,CLT-COMMUNITY ENGAGEMENT
955829,5/13/2022,FIELD TRAINING OFFICER - DCJS - 5-DAY CERTIFICATION
955829,5/4/2022,CLT-DOCUMENTATION AND FORMS
955829,5/1/2022,CLT-DOCUMENTATION AND FORMS
955829,4/27/2022,CLT-DOCUMENTATION AND FORMS
955829,4/12/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
955829,4/6/2022,CLT-DOCUMENTATION AND FORMS
955829,4/5/2022,CLT-LEGAL ISSUES
955829,4/4/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 5"
955829,4/3/2022,CLT-SEARCHING PRISONERS MODULE 1
955829,3/31/2022,CLT-INFORMATION TECHNOLOGY
955829,3/22/2022,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
955829,3/14/2022,CLT-PROCEDURAL OPERATIONS
955829,3/6/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
955829,2/28/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 4"
955829,2/27/2022,CLT-ENFORCEMENT ACTIONS
955829,2/2/2022,IDENTIFYING THE IMPAIRED DRIVER
955829,2/2/2022,ILLEGAL EVICTIONS
955829,2/2/2022,LOCAL LAW 45 OF 2021-TRAFFIC ENCOUNTERS
955829,2/1/2022,CLT-BWC POLICY UPDATES
955829,2/1/2022,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
955829,1/26/2022,FTS - ANNUAL CEW RECERTIFICATION
955829,1/18/2022,CLT-EPERMIT SYSTEM
955829,1/12/2022,CLT-DOCUMENTATION AND FORMS
955829,1/6/2022,CLT-LEGAL ISSUES
955829,12/30/2021,CLT-DOCUMENTATION AND FORMS
955829,12/22/2021,CLT-BWC POLICY UPDATES
955829,12/22/2021,CLT-EJUSTICE ORDER OF PROTECTION SEARCH
955829,12/22/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 2"
955829,12/22/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 3"
955829,12/15/2021,CLT-LEGAL ISSUES
955829,12/6/2021,CLT-INFORMATION TECHNOLOGY
955829,11/15/2021,ARRESTS - RELIGIOUS HEAD COVERING GUIDELINES (PG 208-83)
955829,10/21/2021,CONSTITUTIONAL POLICING AT COMMUNITY EVENTS (CPACE)
955829,10/14/2021,BODY-WORN CAMERA REVIEW PART TWO
